TD 9D 8D 7D 6D TD 9D 8D 7D 6D Tie.
9D 8D 7D 6D 5D TD 9C 8S 7D 6H Black wins.
9D 8D 7D 6D 5D 9C 8S 7D 6H 5D Black wins.
9D 8D 7D 6D 5D 8S 7D 6H 5D 4C Black wins.
9D 8D 7D 6D 5D AS AD AH KD 9C Black wins.
9D 8D 7D 6D 5D KD TS TD TH 9C Black wins.
9D 8D 7D 6D 5D KD 9C 5S 5D 5H Black wins.
9D 8D 7D 6D 5D KD KD 9C 9S 5H Black wins.
9D 8D 7D 6D 5D KD KD 9C 9S 2H Black wins.
9D 8D 7D 6D 5D KD KD 8C 8S 2H Black wins.
9D 8D 7D 6D 5D KD KD 9C 5S 2H Black wins.
9D 8D 7D 6D 5D KD KD 8C 5S 2H Black wins.
9D 8D 7D 6D 5D KD 9C 5S 5D 2H Black wins.
9D 8D 7D 6D 5D KD 9C 5S 3D 2H Black wins.
9D 8D 7D 6D 5D TD 9C 5S 3D 2H Black wins.
9D 8D 7D 6D 5D 9C 8D 5S 3D 2H Black wins.
8D 7D 6D 5D 4D TD 9D 8D 7D 6D White wins.
8D 7D 6D 5D 4D 9D 8D 7D 6D 5D White wins.
8D 7D 6D 5D 4D 8D 7D 6D 5D 4D Tie.
8D 7D 6D 5D 4D AC AS AD AH 9D Black wins.
8D 7D 6D 5D 4D TC TS TD TH 9D Black wins.
8D 7D 6D 5D 4D AS AD AH 9D 9C Black wins.
8D 7D 6D 5D 4D TS TD TH 9D 9C Black wins.
8D 7D 6D 5D 4D KD 9D 5D 3D 2D Black wins.
8D 7D 6D 5D 4D TD 9D 5D 3D 2D Black wins.
8D 7D 6D 5D 4D 9D 8D 5D 3D 2D Black wins.
8D 7D 6D 5D 4D TD 9C 8S 7D 6H Black wins.
8D 7D 6D 5D 4D 9C 8S 7D 6H 5D Black wins.
8D 7D 6D 5D 4D 8S 7D 6H 5D 4C Black wins.
8D 7D 6D 5D 4D AS AD AH KD 9C Black wins.
8D 7D 6D 5D 4D KD TS TD TH 9C Black wins.
8D 7D 6D 5D 4D KD 9C 5S 5D 5H Black wins.
8D 7D 6D 5D 4D KD KD 9C 9S 5H Black wins.
8D 7D 6D 5D 4D KD KD 9C 9S 2H Black wins.
8D 7D 6D 5D 4D KD KD 8C 8S 2H Black wins.
8D 7D 6D 5D 4D KD KD 9C 5S 2H Black wins.
8D 7D 6D 5D 4D KD KD 8C 5S 2H Black wins.
8D 7D 6D 5D 4D KD 9C 5S 5D 2H Black wins.
8D 7D 6D 5D 4D KD 9C 5S 3D 2H Black wins.
8D 7D 6D 5D 4D TD 9C 5S 3D 2H Black wins.
8D 7D 6D 5D 4D 9C 8D 5S 3D 2H Black wins.
AC AS AD AH 9D TD 9D 8D 7D 6D White wins.
AC AS AD AH 9D 9D 8D 7D 6D 5D White wins.
AC AS AD AH 9D 8D 7D 6D 5D 4D White wins.
AC AS AD AH 9D AC AS AD AH 9D Tie.
AC AS AD AH 9D TC TS TD TH 9D Black wins.
AC AS AD AH 9D AS AD AH 9D 9C Black wins.
AC AS AD AH 9D TS TD TH 9D 9C Black wins.
AC AS AD AH 9D KD 9D 5D 3D 2D Black wins.
AC AS AD AH 9D TD 9D 5D 3D 2D Black wins.
AC AS AD AH 9D 9D 8D 5D 3D 2D Black wins.
AC AS AD AH 9D TD 9C 8S 7D 6H Black wins.
AC AS AD AH 9D 9C 8S 7D 6H 5D Black wins.
AC AS AD AH 9D 8S 7D 6H 5D 4C Black wins.
AC AS AD AH 9D AS AD AH KD 9C Black wins.
AC AS AD AH 9D KD TS TD TH 9C Black wins.
AC AS AD AH 9D KD 9C 5S 5D 5H Black wins.
AC AS AD AH 9D KD KD 9C 9S 5H Black wins.
AC AS AD AH 9D KD KD 9C 9S 2H Black wins.
AC AS AD AH 9D KD KD 8C 8S 2H Black wins.
AC AS AD AH 9D KD KD 9C 5S 2H Black wins.
AC AS AD AH 9D KD KD 8C 5S 2H Black wins.
AC AS AD AH 9D KD 9C 5S 5D 2H Black wins.
AC AS AD AH 9D KD 9C 5S 3D 2H Black wins.
AC AS AD AH 9D TD 9C 5S 3D 2H Black wins.
AC AS AD AH 9D 9C 8D 5S 3D 2H Black wins.
TC TS TD TH 9D TD 9D 8D 7D 6D White wins.
TC TS TD TH 9D 9D 8D 7D 6D 5D White wins.
TC TS TD TH 9D 8D 7D 6D 5D 4D White wins.
TC TS TD TH 9D AC AS AD AH 9D White wins.
TC TS TD TH 9D TC TS TD TH 9D Tie.
TC TS TD TH 9D AS AD AH 9D 9C Black wins.
TC TS TD TH 9D TS TD TH 9D 9C Black wins.
TC TS TD TH 9D KD 9D 5D 3D 2D Black wins.
TC TS TD TH 9D TD 9D 5D 3D 2D Black wins.
TC TS TD TH 9D 9D 8D 5D 3D 2D Black wins.
TC TS TD TH 9D TD 9C 8S 7D 6H Black wins.
TC TS TD TH 9D 9C 8S 7D 6H 5D Black wins.
TC TS TD TH 9D 8S 7D 6H 5D 4C Black wins.
TC TS TD TH 9D AS AD AH KD 9C Black wins.
TC TS TD TH 9D KD TS TD TH 9C Black wins.
TC TS TD TH 9D KD 9C 5S 5D 5H Black wins.
TC TS TD TH 9D KD KD 9C 9S 5H Black wins.
TC TS TD TH 9D KD KD 9C 9S 2H Black wins.
TC TS TD TH 9D KD KD 8C 8S 2H Black wins.
TC TS TD TH 9D KD KD 9C 5S 2H Black wins.
TC TS TD TH 9D KD KD 8C 5S 2H Black wins.
TC TS TD TH 9D KD 9C 5S 5D 2H Black wins.
TC TS TD TH 9D KD 9C 5S 3D 2H Black wins.
TC TS TD TH 9D TD 9C 5S 3D 2H Black wins.
TC TS TD TH 9D 9C 8D 5S 3D 2H Black wins.
AS AD AH 9D 9C TD 9D 8D 7D 6D White wins.
AS AD AH 9D 9C 9D 8D 7D 6D 5D White wins.
AS AD AH 9D 9C 8D 7D 6D 5D 4D White wins.
AS AD AH 9D 9C AC AS AD AH 9D White wins.
AS AD AH 9D 9C TC TS TD TH 9D White wins.
AS AD AH 9D 9C AS AD AH 9D 9C Tie.
AS AD AH 9D 9C TS TD TH 9D 9C Black wins.
AS AD AH 9D 9C KD 9D 5D 3D 2D Black wins.
AS AD AH 9D 9C TD 9D 5D 3D 2D Black wins.
AS AD AH 9D 9C 9D 8D 5D 3D 2D Black wins.
AS AD AH 9D 9C TD 9C 8S 7D 6H Black wins.
AS AD AH 9D 9C 9C 8S 7D 6H 5D Black wins.
AS AD AH 9D 9C 8S 7D 6H 5D 4C Black wins.
AS AD AH 9D 9C AS AD AH KD 9C Black wins.
AS AD AH 9D 9C KD TS TD TH 9C Black wins.
AS AD AH 9D 9C KD 9C 5S 5D 5H Black wins.
AS AD AH 9D 9C KD KD 9C 9S 5H Black wins.
AS AD AH 9D 9C KD KD 9C 9S 2H Black wins.
AS AD AH 9D 9C KD KD 8C 8S 2H Black wins.
AS AD AH 9D 9C KD KD 9C 5S 2H Black wins.
AS AD AH 9D 9C KD KD 8C 5S 2H Black wins.
AS AD AH 9D 9C KD 9C 5S 5D 2H Black wins.
AS AD AH 9D 9C KD 9C 5S 3D 2H Black wins.
AS AD AH 9D 9C TD 9C 5S 3D 2H Black wins.
AS AD AH 9D 9C 9C 8D 5S 3D 2H Black wins.
TS TD TH 9D 9C TD 9D 8D 7D 6D White wins.
TS TD TH 9D 9C 9D 8D 7D 6D 5D White wins.
TS TD TH 9D 9C 8D 7D 6D 5D 4D White wins.
TS TD TH 9D 9C AC AS AD AH 9D White wins.
TS TD TH 9D 9C TC TS TD TH 9D White wins.
TS TD TH 9D 9C AS AD AH 9D 9C White wins.
TS TD TH 9D 9C TS TD TH 9D 9C Tie.
TS TD TH 9D 9C KD 9D 5D 3D 2D Black wins.
TS TD TH 9D 9C TD 9D 5D 3D 2D Black wins.
TS TD TH 9D 9C 9D 8D 5D 3D 2D Black wins.
TS TD TH 9D 9C TD 9C 8S 7D 6H Black wins.
TS TD TH 9D 9C 9C 8S 7D 6H 5D Black wins.
TS TD TH 9D 9C 8S 7D 6H 5D 4C Black wins.
TS TD TH 9D 9C AS AD AH KD 9C Black wins.
TS TD TH 9D 9C KD TS TD TH 9C Black wins.
TS TD TH 9D 9C KD 9C 5S 5D 5H Black wins.
TS TD TH 9D 9C KD KD 9C 9S 5H Black wins.
TS TD TH 9D 9C KD KD 9C 9S 2H Black wins.
TS TD TH 9D 9C KD KD 8C 8S 2H Black wins.
TS TD TH 9D 9C KD KD 9C 5S 2H Black wins.
TS TD TH 9D 9C KD KD 8C 5S 2H Black wins.
TS TD TH 9D 9C KD 9C 5S 5D 2H Black wins.
TS TD TH 9D 9C KD 9C 5S 3D 2H Black wins.
TS TD TH 9D 9C TD 9C 5S 3D 2H Black wins.
TS TD TH 9D 9C 9C 8D 5S 3D 2H Black wins.
KD 9D 5D 3D 2D TD 9D 8D 7D 6D White wins.
KD 9D 5D 3D 2D 9D 8D 7D 6D 5D White wins.
KD 9D 5D 3D 2D 8D 7D 6D 5D 4D White wins.
KD 9D 5D 3D 2D AC AS AD AH 9D White wins.
KD 9D 5D 3D 2D TC TS TD TH 9D White wins.
KD 9D 5D 3D 2D AS AD AH 9D 9C White wins.
KD 9D 5D 3D 2D TS TD TH 9D 9C White wins.
KD 9D 5D 3D 2D KD 9D 5D 3D 2D Tie.
KD 9D 5D 3D 2D TD 9D 5D 3D 2D Black wins.
KD 9D 5D 3D 2D 9D 8D 5D 3D 2D Black wins.
KD 9D 5D 3D 2D TD 9C 8S 7D 6H Black wins.
KD 9D 5D 3D 2D 9C 8S 7D 6H 5D Black wins.
KD 9D 5D 3D 2D 8S 7D 6H 5D 4C Black wins.
KD 9D 5D 3D 2D AS AD AH KD 9C Black wins.
KD 9D 5D 3D 2D KD TS TD TH 9C Black wins.
KD 9D 5D 3D 2D KD 9C 5S 5D 5H Black wins.
KD 9D 5D 3D 2D KD KD 9C 9S 5H Black wins.
KD 9D 5D 3D 2D KD KD 9C 9S 2H Black wins.
KD 9D 5D 3D 2D KD KD 8C 8S 2H Black wins.
KD 9D 5D 3D 2D KD KD 9C 5S 2H Black wins.
KD 9D 5D 3D 2D KD KD 8C 5S 2H Black wins.
KD 9D 5D 3D 2D KD 9C 5S 5D 2H Black wins.
KD 9D 5D 3D 2D KD 9C 5S 3D 2H Black wins.
KD 9D 5D 3D 2D TD 9C 5S 3D 2H Black wins.
KD 9D 5D 3D 2D 9C 8D 5S 3D 2H Black wins.
TD 9D 5D 3D 2D TD 9D 8D 7D 6D White wins.
TD 9D 5D 3D 2D 9D 8D 7D 6D 5D White wins.
TD 9D 5D 3D 2D 8D 7D 6D 5D 4D White wins.
TD 9D 5D 3D 2D AC AS AD AH 9D White wins.
TD 9D 5D 3D 2D TC TS TD TH 9D White wins.
TD 9D 5D 3D 2D AS AD AH 9D 9C White wins.
TD 9D 5D 3D 2D TS TD TH 9D 9C White wins.
TD 9D 5D 3D 2D KD 9D 5D 3D 2D White wins.
TD 9D 5D 3D 2D TD 9D 5D 3D 2D Tie.
TD 9D 5D 3D 2D 9D 8D 5D 3D 2D Black wins.
TD 9D 5D 3D 2D TD 9C 8S 7D 6H Black wins.
TD 9D 5D 3D 2D 9C 8S 7D 6H 5D Black wins.
TD 9D 5D 3D 2D 8S 7D 6H 5D 4C Black wins.
TD 9D 5D 3D 2D AS AD AH KD 9C Black wins.
TD 9D 5D 3D 2D KD TS TD TH 9C Black wins.
TD 9D 5D 3D 2D KD 9C 5S 5D 5H Black wins.
TD 9D 5D 3D 2D KD KD 9C 9S 5H Black wins.
TD 9D 5D 3D 2D KD KD 9C 9S 2H Black wins.
TD 9D 5D 3D 2D KD KD 8C 8S 2H Black wins.
TD 9D 5D 3D 2D KD KD 9C 5S 2H Black wins.
TD 9D 5D 3D 2D KD KD 8C 5S 2H Black wins.
TD 9D 5D 3D 2D KD 9C 5S 5D 2H Black wins.
TD 9D 5D 3D 2D KD 9C 5S 3D 2H Black wins.
TD 9D 5D 3D 2D TD 9C 5S 3D 2H Black wins.
TD 9D 5D 3D 2D 9C 8D 5S 3D 2H Black wins.
9D 8D 5D 3D 2D TD 9D 8D 7D 6D White wins.
9D 8D 5D 3D 2D 9D 8D 7D 6D 5D White wins.
9D 8D 5D 3D 2D 8D 7D 6D 5D 4D White wins.
9D 8D 5D 3D 2D AC AS AD AH 9D White wins.
9D 8D 5D 3D 2D TC TS TD TH 9D White wins.
9D 8D 5D 3D 2D AS AD AH 9D 9C White wins.
9D 8D 5D 3D 2D TS TD TH 9D 9C White wins.
9D 8D 5D 3D 2D KD 9D 5D 3D 2D White wins.
9D 8D 5D 3D 2D TD 9D 5D 3D 2D White wins.
9D 8D 5D 3D 2D 9D 8D 5D 3D 2D Tie.
9D 8D 5D 3D 2D TD 9C 8S 7D 6H Black wins.
9D 8D 5D 3D 2D 9C 8S 7D 6H 5D Black wins.
9D 8D 5D 3D 2D 8S 7D 6H 5D 4C Black wins.
9D 8D 5D 3D 2D AS AD AH KD 9C Black wins.
9D 8D 5D 3D 2D KD TS TD TH 9C Black wins.
9D 8D 5D 3D 2D KD 9C 5S 5D 5H Black wins.
9D 8D 5D 3D 2D KD KD 9C 9S 5H Black wins.
9D 8D 5D 3D 2D KD KD 9C 9S 2H Black wins.
9D 8D 5D 3D 2D KD KD 8C 8S 2H Black wins.
9D 8D 5D 3D 2D KD KD 9C 5S 2H Black wins.
9D 8D 5D 3D 2D KD KD 8C 5S 2H Black wins.
9D 8D 5D 3D 2D KD 9C 5S 5D 2H Black wins.
9D 8D 5D 3D 2D KD 9C 5S 3D 2H Black wins.
9D 8D 5D 3D 2D TD 9C 5S 3D 2H Black wins.
9D 8D 5D 3D 2D 9C 8D 5S 3D 2H Black wins.
TD 9C 8S 7D 6H TD 9D 8D 7D 6D White wins.
TD 9C 8S 7D 6H 9D 8D 7D 6D 5D White wins.
TD 9C 8S 7D 6H 8D 7D 6D 5D 4D White wins.
TD 9C 8S 7D 6H AC AS AD AH 9D White wins.
TD 9C 8S 7D 6H TC TS TD TH 9D White wins.
TD 9C 8S 7D 6H AS AD AH 9D 9C White wins.
TD 9C 8S 7D 6H TS TD TH 9D 9C White wins.
TD 9C 8S 7D 6H KD 9D 5D 3D 2D White wins.
TD 9C 8S 7D 6H TD 9D 5D 3D 2D White wins.
TD 9C 8S 7D 6H 9D 8D 5D 3D 2D White wins.
TD 9C 8S 7D 6H TD 9C 8S 7D 6H Tie.
TD 9C 8S 7D 6H 9C 8S 7D 6H 5D Black wins.
TD 9C 8S 7D 6H 8S 7D 6H 5D 4C Black wins.
TD 9C 8S 7D 6H AS AD AH KD 9C Black wins.
TD 9C 8S 7D 6H KD TS TD TH 9C Black wins.
TD 9C 8S 7D 6H KD 9C 5S 5D 5H Black wins.
TD 9C 8S 7D 6H KD KD 9C 9S 5H Black wins.
TD 9C 8S 7D 6H KD KD 9C 9S 2H Black wins.
TD 9C 8S 7D 6H KD KD 8C 8S 2H Black wins.
TD 9C 8S 7D 6H KD KD 9C 5S 2H Black wins.
TD 9C 8S 7D 6H KD KD 8C 5S 2H Black wins.
TD 9C 8S 7D 6H KD 9C 5S 5D 2H Black wins.
TD 9C 8S 7D 6H KD 9C 5S 3D 2H Black wins.
TD 9C 8S 7D 6H TD 9C 5S 3D 2H Black wins.
TD 9C 8S 7D 6H 9C 8D 5S 3D 2H Black wins.
9C 8S 7D 6H 5D TD 9D 8D 7D 6D White wins.
9C 8S 7D 6H 5D 9D 8D 7D 6D 5D White wins.
9C 8S 7D 6H 5D 8D 7D 6D 5D 4D White wins.
9C 8S 7D 6H 5D AC AS AD AH 9D White wins.
9C 8S 7D 6H 5D TC TS TD TH 9D White wins.
9C 8S 7D 6H 5D AS AD AH 9D 9C White wins.
9C 8S 7D 6H 5D TS TD TH 9D 9C White wins.
9C 8S 7D 6H 5D KD 9D 5D 3D 2D White wins.
9C 8S 7D 6H 5D TD 9D 5D 3D 2D White wins.
9C 8S 7D 6H 5D 9D 8D 5D 3D 2D White wins.
9C 8S 7D 6H 5D TD 9C 8S 7D 6H White wins.
9C 8S 7D 6H 5D 9C 8S 7D 6H 5D Tie.
9C 8S 7D 6H 5D 8S 7D 6H 5D 4C Black wins.
9C 8S 7D 6H 5D AS AD AH KD 9C Black wins.
9C 8S 7D 6H 5D KD TS TD TH 9C Black wins.
9C 8S 7D 6H 5D KD 9C 5S 5D 5H Black wins.
9C 8S 7D 6H 5D KD KD 9C 9S 5H Black wins.
9C 8S 7D 6H 5D KD KD 9C 9S 2H Black wins.
9C 8S 7D 6H 5D KD KD 8C 8S 2H Black wins.
9C 8S 7D 6H 5D KD KD 9C 5S 2H Black wins.
9C 8S 7D 6H 5D KD KD 8C 5S 2H Black wins.
9C 8S 7D 6H 5D KD 9C 5S 5D 2H Black wins.
9C 8S 7D 6H 5D KD 9C 5S 3D 2H Black wins.
9C 8S 7D 6H 5D TD 9C 5S 3D 2H Black wins.
9C 8S 7D 6H 5D 9C 8D 5S 3D 2H Black wins.
8S 7D 6H 5D 4C TD 9D 8D 7D 6D White wins.
8S 7D 6H 5D 4C 9D 8D 7D 6D 5D White wins.
8S 7D 6H 5D 4C 8D 7D 6D 5D 4D White wins.
8S 7D 6H 5D 4C AC AS AD AH 9D White wins.
8S 7D 6H 5D 4C TC TS TD TH 9D White wins.
8S 7D 6H 5D 4C AS AD AH 9D 9C White wins.
8S 7D 6H 5D 4C TS TD TH 9D 9C White wins.
8S 7D 6H 5D 4C KD 9D 5D 3D 2D White wins.
8S 7D 6H 5D 4C TD 9D 5D 3D 2D White wins.
8S 7D 6H 5D 4C 9D 8D 5D 3D 2D White wins.
8S 7D 6H 5D 4C TD 9C 8S 7D 6H White wins.
8S 7D 6H 5D 4C 9C 8S 7D 6H 5D White wins.
8S 7D 6H 5D 4C 8S 7D 6H 5D 4C Tie.
8S 7D 6H 5D 4C AS AD AH KD 9C Black wins.
8S 7D 6H 5D 4C KD TS TD TH 9C Black wins.
8S 7D 6H 5D 4C KD 9C 5S 5D 5H Black wins.
8S 7D 6H 5D 4C KD KD 9C 9S 5H Black wins.
8S 7D 6H 5D 4C KD KD 9C 9S 2H Black wins.
8S 7D 6H 5D 4C KD KD 8C 8S 2H Black wins.
8S 7D 6H 5D 4C KD KD 9C 5S 2H Black wins.
8S 7D 6H 5D 4C KD KD 8C 5S 2H Black wins.
8S 7D 6H 5D 4C KD 9C 5S 5D 2H Black wins.
8S 7D 6H 5D 4C KD 9C 5S 3D 2H Black wins.
8S 7D 6H 5D 4C TD 9C 5S 3D 2H Black wins.
8S 7D 6H 5D 4C 9C 8D 5S 3D 2H Black wins.
AS AD AH KD 9C TD 9D 8D 7D 6D White wins.
AS AD AH KD 9C 9D 8D 7D 6D 5D White wins.
AS AD AH KD 9C 8D 7D 6D 5D 4D White wins.
AS AD AH KD 9C AC AS AD AH 9D White wins.
AS AD AH KD 9C TC TS TD TH 9D White wins.
AS AD AH KD 9C AS AD AH 9D 9C White wins.
AS AD AH KD 9C TS TD TH 9D 9C White wins.
AS AD AH KD 9C KD 9D 5D 3D 2D White wins.
AS AD AH KD 9C TD 9D 5D 3D 2D White wins.
AS AD AH KD 9C 9D 8D 5D 3D 2D White wins.
AS AD AH KD 9C TD 9C 8S 7D 6H White wins.
AS AD AH KD 9C 9C 8S 7D 6H 5D White wins.
AS AD AH KD 9C 8S 7D 6H 5D 4C White wins.
AS AD AH KD 9C AS AD AH KD 9C Tie.
AS AD AH KD 9C KD TS TD TH 9C Black wins.
AS AD AH KD 9C KD 9C 5S 5D 5H Black wins.
AS AD AH KD 9C KD KD 9C 9S 5H Black wins.
AS AD AH KD 9C KD KD 9C 9S 2H Black wins.
AS AD AH KD 9C KD KD 8C 8S 2H Black wins.
AS AD AH KD 9C KD KD 9C 5S 2H Black wins.
AS AD AH KD 9C KD KD 8C 5S 2H Black wins.
AS AD AH KD 9C KD 9C 5S 5D 2H Black wins.
AS AD AH KD 9C KD 9C 5S 3D 2H Black wins.
AS AD AH KD 9C TD 9C 5S 3D 2H Black wins.
AS AD AH KD 9C 9C 8D 5S 3D 2H Black wins.
KD TS TD TH 9C TD 9D 8D 7D 6D White wins.
KD TS TD TH 9C 9D 8D 7D 6D 5D White wins.
KD TS TD TH 9C 8D 7D 6D 5D 4D White wins.
KD TS TD TH 9C AC AS AD AH 9D White wins.
KD TS TD TH 9C TC TS TD TH 9D White wins.
KD TS TD TH 9C AS AD AH 9D 9C White wins.
KD TS TD TH 9C TS TD TH 9D 9C White wins.
KD TS TD TH 9C KD 9D 5D 3D 2D White wins.
KD TS TD TH 9C TD 9D 5D 3D 2D White wins.
KD TS TD TH 9C 9D 8D 5D 3D 2D White wins.
KD TS TD TH 9C TD 9C 8S 7D 6H White wins.
KD TS TD TH 9C 9C 8S 7D 6H 5D White wins.
KD TS TD TH 9C 8S 7D 6H 5D 4C White wins.
KD TS TD TH 9C AS AD AH KD 9C White wins.
KD TS TD TH 9C KD TS TD TH 9C Tie.
KD TS TD TH 9C KD 9C 5S 5D 5H Black wins.
KD TS TD TH 9C KD KD 9C 9S 5H Black wins.
KD TS TD TH 9C KD KD 9C 9S 2H Black wins.
KD TS TD TH 9C KD KD 8C 8S 2H Black wins.
KD TS TD TH 9C KD KD 9C 5S 2H Black wins.
KD TS TD TH 9C KD KD 8C 5S 2H Black wins.
KD TS TD TH 9C KD 9C 5S 5D 2H Black wins.
KD TS TD TH 9C KD 9C 5S 3D 2H Black wins.
KD TS TD TH 9C TD 9C 5S 3D 2H Black wins.
KD TS TD TH 9C 9C 8D 5S 3D 2H Black wins.
KD 9C 5S 5D 5H TD 9D 8D 7D 6D White wins.
KD 9C 5S 5D 5H 9D 8D 7D 6D 5D White wins.
KD 9C 5S 5D 5H 8D 7D 6D 5D 4D White wins.
KD 9C 5S 5D 5H AC AS AD AH 9D White wins.
KD 9C 5S 5D 5H TC TS TD TH 9D White wins.
KD 9C 5S 5D 5H AS AD AH 9D 9C White wins.
KD 9C 5S 5D 5H TS TD TH 9D 9C White wins.
KD 9C 5S 5D 5H KD 9D 5D 3D 2D White wins.
KD 9C 5S 5D 5H TD 9D 5D 3D 2D White wins.
KD 9C 5S 5D 5H 9D 8D 5D 3D 2D White wins.
KD 9C 5S 5D 5H TD 9C 8S 7D 6H White wins.
KD 9C 5S 5D 5H 9C 8S 7D 6H 5D White wins.
KD 9C 5S 5D 5H 8S 7D 6H 5D 4C White wins.
KD 9C 5S 5D 5H AS AD AH KD 9C White wins.
KD 9C 5S 5D 5H KD TS TD TH 9C White wins.
KD 9C 5S 5D 5H KD 9C 5S 5D 5H Tie.
KD 9C 5S 5D 5H KD KD 9C 9S 5H Black wins.
KD 9C 5S 5D 5H KD KD 9C 9S 2H Black wins.
KD 9C 5S 5D 5H KD KD 8C 8S 2H Black wins.
KD 9C 5S 5D 5H KD KD 9C 5S 2H Black wins.
KD 9C 5S 5D 5H KD KD 8C 5S 2H Black wins.
KD 9C 5S 5D 5H KD 9C 5S 5D 2H Black wins.
KD 9C 5S 5D 5H KD 9C 5S 3D 2H Black wins.
KD 9C 5S 5D 5H TD 9C 5S 3D 2H Black wins.
KD 9C 5S 5D 5H 9C 8D 5S 3D 2H Black wins.
KD KD 9C 9S 5H TD 9D 8D 7D 6D White wins.
KD KD 9C 9S 5H 9D 8D 7D 6D 5D White wins.
KD KD 9C 9S 5H 8D 7D 6D 5D 4D White wins.
KD KD 9C 9S 5H AC AS AD AH 9D White wins.
KD KD 9C 9S 5H TC TS TD TH 9D White wins.
KD KD 9C 9S 5H AS AD AH 9D 9C White wins.
KD KD 9C 9S 5H TS TD TH 9D 9C White wins.
KD KD 9C 9S 5H KD 9D 5D 3D 2D White wins.
KD KD 9C 9S 5H TD 9D 5D 3D 2D White wins.
KD KD 9C 9S 5H 9D 8D 5D 3D 2D White wins.
KD KD 9C 9S 5H TD 9C 8S 7D 6H White wins.
KD KD 9C 9S 5H 9C 8S 7D 6H 5D White wins.
KD KD 9C 9S 5H 8S 7D 6H 5D 4C White wins.
KD KD 9C 9S 5H AS AD AH KD 9C White wins.
KD KD 9C 9S 5H KD TS TD TH 9C White wins.
KD KD 9C 9S 5H KD 9C 5S 5D 5H White wins.
KD KD 9C 9S 5H KD KD 9C 9S 5H Tie.
KD KD 9C 9S 5H KD KD 9C 9S 2H Black wins.
KD KD 9C 9S 5H KD KD 8C 8S 2H Black wins.
KD KD 9C 9S 5H KD KD 9C 5S 2H Black wins.
KD KD 9C 9S 5H KD KD 8C 5S 2H Black wins.
KD KD 9C 9S 5H KD 9C 5S 5D 2H Black wins.
KD KD 9C 9S 5H KD 9C 5S 3D 2H Black wins.
KD KD 9C 9S 5H TD 9C 5S 3D 2H Black wins.
KD KD 9C 9S 5H 9C 8D 5S 3D 2H Black wins.
KD KD 9C 9S 2H TD 9D 8D 7D 6D White wins.
KD KD 9C 9S 2H 9D 8D 7D 6D 5D White wins.
KD KD 9C 9S 2H 8D 7D 6D 5D 4D White wins.
KD KD 9C 9S 2H AC AS AD AH 9D White wins.
KD KD 9C 9S 2H TC TS TD TH 9D White wins.
KD KD 9C 9S 2H AS AD AH 9D 9C White wins.
KD KD 9C 9S 2H TS TD TH 9D 9C White wins.
KD KD 9C 9S 2H KD 9D 5D 3D 2D White wins.
KD KD 9C 9S 2H TD 9D 5D 3D 2D White wins.
KD KD 9C 9S 2H 9D 8D 5D 3D 2D White wins.
KD KD 9C 9S 2H TD 9C 8S 7D 6H White wins.
